WeightNotOver_lbs	1
1	2.69
2	3.17
3	3.65
4	4.13
5	4.61
6	5.09
7	5.57
8	6.03
9	6.49
10	6.95
11	7.41
12	7.87
13	8.33
14	8.79
15	9.25
16	9.71
17	10.17
18	10.63
19	11.09
20	11.55
21	12.01
22	12.47
23	12.93
24	13.39
25	13.85
26	14.31
27	14.77
28	15.23
29	15.69
30	16.15
31	16.61
32	17.07
33	17.53
34	17.99
35	18.45
36	18.91
37	19.37
38	19.83
39	20.29
40	20.75
41	21.21
42	21.67
43	22.13
44	22.59
45	23.05
46	23.51
47	23.97
48	24.43
49	24.89
50	25.35
51	25.81
52	26.27
53	26.73
54	27.19
55	27.65
56	28.11
57	28.57
58	29.03
59	29.49
60	29.95
61	30.41
62	30.87
63	31.33
64	31.79
65	32.25
66	32.71
67	33.17
68	33.63
69	34.09
70	34.55
